Year,Month,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA
2000,1,3503.65818928144,3924.41678940093,2941.76449455112,21713.8631234853,9940.59500123744,-854.417635867556,577.763900004267,8924.30352782046,3756.88850354157,1597.93923824032,8369.23239558799,12602.6232385219,-170.749236098312,1881.5803749616,2533.09702432156,3993.83598160948,707.634756903912,1104.8293849121,873.338977035333,1413.84829386414,1248.87777927121,4055.71854266939,6334.47155470218,1148.6939968766,-22.8213040578548,1081.04665032855,1269.84385021761,1142.344009255,2188.84026490442,3018.18675112648,2343.88203912785,577.670732048986,7046.81151135008,3998.05387920295,2786.98943108893,2031.88636166587,297.970129429936,3847.13452697558,135.545689413725,7472.23782044718,16857.7712168459,464.326640284188,476.291869521249,4770.24427978325,2565.83459970984,2455.3933679809,3639.65827564431,529.321584225123,180580.716094043
2000,2,3618.59591146556,3732.4641926649,3788.87481634169,23491.77553039,10582.629474008,-901.795323457634,634.058977493461,9275.98001666588,3892.96145820285,1686.08836682085,7729.22246357046,11297.5683423453,-159.615603656571,2139.05618754594,3129.29759347516,3915.852617784,710.606695646753,1092.87410388535,1135.70511572441,1084.06751003664,2087.34551767247,4177.69005558858,6842.75837818127,1396.13580332684,67.1846601917791,1014.13298234531,1256.67768471171,1366.89561424642,2370.60129131186,2967.96411823486,3045.75045637799,659.438531147928,7341.88504216612,4699.89249409495,3135.02522234151,2504.56604546777,360.465990028693,3968.45095793481,239.56500725122,7174.45085179013,18075.0145653455,671.875878707901,467.606322866788,5210.24650965262,2809.40212500539,3258.15351926497,3361.91240869603,675.211821805113,187319.412884038
2000,3,3205.16263364968,3897.86259592887,3220.05713813226,21712.0399372947,9837.50194677858,-1072.55600204771,619.311754982655,8769.92850551131,3573.73541286413,1619.57729540139,7256.40053155293,11196.7454461687,-384.78127121483,1770.35530013027,2798.00716262876,3574.93925395852,686.671234389593,1046.64172285861,1043.28215441349,791.229726209134,1732.77025607374,3778.67656850776,6027.13520166035,1143.18660977709,-64.8695755585877,568.646014362061,1298.45891920581,1310.14871923785,2200.20911771929,3365.75738534325,3083.18087362814,681.337330246869,6369.66157298215,4285.31210898695,2642.15201359408,2887.06972926968,328.41783062745,3809.80438889404,112.679325088715,6675.26288313309,17612.0929138451,580.332717131615,463.114676212327,6035.26573952199,2905.47845030094,2605.13467054904,3107.35454174774,593.663359385103,174483.659674033
2000,4,3607.43035583379,3724.26699919284,4087.30845992282,22402.9193441994,9270.12741954916,-972.23584763779,667.050532471848,8903.23099435673,4009.52236752542,1719.58482398193,7371.2255995354,10467.8195499921,-267.354338773088,1647.17661271461,3686.68873178235,4467.63789013304,606.582373132434,1247.93714183186,1512.48469310256,1488.96694238163,1676.60699447501,4179.54408142694,6495.15902513943,1038.24781622733,36.6999886910462,851.646846378815,1159.22845369991,1444.92872422927,2331.97424412673,3159.36195245163,3477.34429087828,640.177729345811,7104.88810379819,4539.52372387895,2454.87180484666,2239.68741307157,300.078091226207,3854.33781985327,322.47734292621,7271.01791447604,17988.4922623448,260.020455555328,409.298029557865,5196.50096939136,2613.43487559649,3089.93682183311,3479.48667479946,557.492596965094,174814.276464028
2000,5,3290.36707801791,3192.12840245681,3591.21778171339,20805.7597511041,7724.29689231973,-1005.14594522787,512.359809961042,8400.58748320216,3327.17232218671,1576.63435256247,7240.79266751787,3157.70995381553,-164.422906331347,1946.97622529895,3171.98530093595,3770.43652630756,612.570511875274,1077.78836080512,823.669831791641,1406.21315855412,1485.00073287627,4045.40359434612,5847.52884861852,1088.39422267757,56.7917529406805,717.031878395569,1141.23368819401,1345.4428292207,2230.13467053416,2696.96191956002,3297.12470812843,478.263728444752,5613.58163461423,4366.49733877094,2447.46659609923,1569.06809687348,259.786891824964,3421.76825081249,245.122460763705,6451.318945819,16687.6556108444,448.74909397904,426.184882903404,4335.33519926074,2562.91810089204,2606.02397311718,3918.69280785118,412.432434545084,157519.633254024
2000,6,3398.64380020203,3487.33980572078,3873.86810350395,21617.0631580088,10084.1923650903,-1010.97959281795,576.332587450236,8487.69697204758,3399.67227684799,1611.179481143,6863.35173550034,3179.68155763892,-78.0927738896053,1737.17023788328,3452.67687008955,3517.57616248208,690.036250618114,904.225179778375,919.890370480718,1608.99537472662,2112.21147127754,4189.7971072653,6379.5416720976,1326.01872912782,84.2627171903141,726.321610412323,1373.21862268811,1639.85173421213,2536.1441969416,2825.2398866684,3570.55412537857,522.843927543693,6073.47316543026,5542.50995366294,2062.15038735181,1982.98778067538,325.73287242372,3790.89168177172,280.475778601201,5933.04997716195,17241.106959344,358.846832402754,416.409036248943,4604.90042913011,2565.10562618759,3077.16512440125,3953.20294090289,476.951172125074,162174.970044019
2000,7,3260.12952238615,3240.79220898475,3309.64442529452,22142.9905649135,8988.07683786088,-1030.47296040802,598.982564939429,7987.21746089301,3428.12223150927,1640.60410972354,6597.35380348282,3000.55296146232,-65.2450414478644,1647.41475046762,3317.23543924314,3387.6767986566,671.705589360955,1167.78069875163,874.743109169795,2381.64859089912,1897.74420967881,4082.55262018449,5693.03949557668,1131.41563557806,141.657281439948,585.725642429078,1322.84995718221,1485.67263920355,2089.25352334903,2804.87305377679,3767.16054262872,521.149926642635,5569.0776962463,4618.24356855494,2143.68017860438,1479.64246447729,235.858063022477,3515.47011273095,384.277396438696,8541.41100850491,16606.7903078436,530.189670826467,362.117889594482,4345.09065899948,2657.93345148314,3158.54427568532,3974.1950739546,386.342309705065,160120.686834014
2000,8,3113.92724457027,2814.44861224872,2846.45974708509,21192.3509718182,8707.11831063145,-1171.2197079981,479.923842428623,7444.23594973843,2791.78018617056,1433.17723830408,6306.81387146529,2808.86286528572,-5.3819090061229,1016.16406305196,2853.87800839674,2927.80243483112,638.717128103795,896.849717724886,1015.12044785887,1587.58480707161,1537.50394808007,3281.76513310367,4643.14331905577,766.272642028304,26.2481456895816,263.883674445832,1203.40819167631,1520.49524419498,1975.94284975647,2919.91292088517,3590.97495987887,574.972525741576,5287.55522706234,3508.51118344693,1910.57596985696,-187.458851720818,250.966903621234,3395.62154369018,369.292114276191,6510.66503984786,14395.6446563433,454.708209250181,385.81834294002,4079.76288886885,2393.18277677869,2528.67042696939,3646.85920700632,308.263847285055,141011.073624009
2000,9,3203.08196675438,3284.76001551269,3299.32606887565,18403.9993787229,10295.507783402,-1294.45683058818,573.625719917817,7784.63443858386,3234.97614083184,1470.33816688462,6593.52093944776,2919.25206910911,-5.71107656438107,1131.71657563629,3407.71557755034,3621.07307100564,575.351466846636,1169.28213669814,915.882986547949,1957.32602324411,2070.89968648134,4118.51864602285,4906.04214253485,1174.42064847855,127.031609939216,710.177606462586,1338.23682617041,1517.10804918641,2229.5158761639,2830.19358799355,3878.70337712901,484.252724840518,6476.65575787838,4339.68479833893,2005.32876110953,1604.73283208109,247.382024219991,3120.32647464941,525.141732113686,6567.94307119082,14343.0610048429,490.886647673893,379.803296285559,4093.77911873822,2511.40110207424,3076.03357825346,3874.41034005804,473.831284865045,154344.660414004
2000,10,2781.3206889385,2707.34041877666,2669.97139066622,18787.2537856276,8446.7942561726,-1964.05529317826,531.676197407011,7544.76692742929,2463.10809549312,1339.99399546516,5517.63500743023,2236.98507293251,-12.3498441226398,1050.66888822063,2206.47614670394,3140.14670718016,548.299805589476,755.266455671396,850.547425237026,1509.0522394166,1520.69442488261,3192.96715894203,4281.62096601394,1018.20055492879,276.20327418885,189.34773847934,1084.71516066451,1150.58045417783,2156.31980257134,2307.63885510194,3379.59979437916,379.372023939459,4466.68228869441,3655.84441323093,1354.16055236211,-69.1364841170071,204.089674818748,2696.11330560863,449.743049951181,4882.03210253377,13427.9433533425,193.521986097606,343.694349631098,2452.2293486076,2107.44162736979,1988.89372953753,3449.73447310975,369.060422445035,132413.597203999
